gene-J2S48_RS25730	product=transposase family protein		Plate1	Plate2	Plate3	Broth1	Broth2	Broth3
gene-J2S48_RS06495	inference=COORDINATES: protein motif:HMM:NF012791.5	gene-J2S48_RS06495	68.7803890344901	457.576227927054	217.883601950195	21981.8972205648	2810.67196654387	31200.1629505767
gene-J2S48_RS02325	go_component=ribosome|0005840||IEA	gene-J2S48_RS02325	1895.75947276313	1005.31875678	2411.72021366903	0	0	2.90558418239679
gene-J2S48_RS06480	product=hypothetical protein	gene-J2S48_RS06480	55.8840660905232	665.952679279406	443.642514814253	17122.4663636583	9041.9806916469	24717.8046396495
gene-J2S48_RS06820	inference=COORDINATES: similar to AA sequence:RefSeq:WP_020018131.1	gene-J2S48_RS06820	0	0	0	15.9905068031215	35.6183820154914	17.4335050943807
gene-J2S48_RS10185	product=choice-of-anchor G family protein	gene-J2S48_RS10185	541.64556364661	1788.41663017572	979.163656956902	60621.6945018762	169257.279252543	38295.5995239896
gene-J2S48_RS15265	inference=COORDINATES: similar to AA sequence:RefSeq:WP_017834336.1	gene-J2S48_RS15265	0	0.709970873432202	4.8751924704863	99.3094633035969	346.643182115051	139.468040755046
gene-J2S48_RS16660	go_function=transferase activity|0016740||IEA	gene-J2S48_RS16660	361.097042431073	516.503810421927	536.646186558915	11815.3013162644	11817.0342761753	20391.3897920606
gene-J2S48_RS20100	locus_tag=J2S48_RS20100	gene-J2S48_RS20100	19765.7642987866	40107.3195964952	40418.7207135802	75.7445059095231	218.798632380876	142.373624937442
gene-J2S48_RS21205	product=copper resistance CopC family protein	gene-J2S48_RS21205	0	0	0	100.151068924814	157.102506389757	78.4507729247132
